Title,Company,Location,Job Type,Link
"Usage Excellence Lead - Small, Medium, Enterprise Customers",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556752422
Senior Customer Experience Program Manager-CAPE,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556656898
Cost Management Lead,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556753203
Services Account Executive - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769361
Network Sourcing Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556802501
"Land Acquisition, Lease & Development Attorney",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754269
Construction Growth & Transformation Lead,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556760032
Senior Security Operations Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556668492
Sr. Cloud Solution Architect - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556749784
Principal Corporate Counsel,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556657140
Datacenter Energy Attorney,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556734725
Federal Contracts Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556756082
Senior Risk Intelligence Specialist - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746560
Director - Supply Chain Execution,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556802489
Senior Solution Architect - AI Business Solutions,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556768594
Cloud Solution Architect - Cybersecurity Data Security - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803518
Technical Leader for Systems Engineering,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556760004
Principal IP Design Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754271
"Senior Attorney, Land Use & Environmental Permitting",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754267
"Support Escalation Manager, Incident Manager - CTJ - Top Secret",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556650987
Technical Program Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556653500
Sr. Energy Markets Program Manager,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556655147
"Director, Energy Portfolio Analytics",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754237
Construction Risk Management Lead,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556657790
Senior Corporate Counsel,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556768619
Services Account Director,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556769312
"Senior Corporate Counsel, Construction",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556749196
Security Cloud Solution Architect - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803382
"Data Engineer, Global Talent Intelligence",Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556803429
Technical Program Manager - Business Risk & Compliance,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556802769
Consulting Project Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556657329
Consulting Project Manager - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556658332
Principal Network Solution Architecture-CTJ-TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556824119
Sr. Services Account Director- CTJ- Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556754160
Software Engineering - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746551
Software Engineering - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556746570
Software Engineer II - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556748172
Software Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556804086
Senior Software Engineer - CTJ - Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556628477
Principle Software Engineer - CTJ - Top Secret,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556765093
Technology Consulting Management-CTJ-Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556756089
Cloud Solution Architect - CTJ -TS,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556620583
Principal Technology Consultant-CTJ-Poly,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556752764
Software Engineer II - CTJ - POLY,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556637648
Principal Quantum Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556768563
Software Engineer II - CTJ - TS/SCI,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556802652
Quantum Engineer,Microsoft,"Washington, DC",N/A,https://careers.microsoft.com/careers/job/1970393556657918
