Title,Company,Location,Job Type,Link
Lead Engineer,"New
Lead Engineer
		    Trusted Carrier Logistik GmbH","remote (EU), remote (EU)","Back end, Big Data, Database, Front end, Integration, Lead, Machine Learning, Management, Systems, Testing, Web",https://www.python.org/jobs/8048/
Python Tech Lead,"New
Python Tech Lead
		    TramCase","Remote, Remote",Back end,https://www.python.org/jobs/8047/
Infrastructure Engineer,"New
Infrastructure Engineer
		    Python Software Foundation","Remote, USA","Back end, Cloud, Database, Front end, Operations, Systems, Web",https://www.python.org/jobs/8044/
Senior Python Engineer (backend focused),"New
Senior Python Engineer (backend focused)
		    World Parts Direct","Garland, TX, United States","Back end, Database, Front end, Operations, Systems",https://www.python.org/jobs/8041/
"DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE only","New
DevOps Engineer-FULLY REMOTE-US, CANADA, EUROPE only
		    ActivePrime, Inc.","Mountain View, California, United States","Cloud, DevOps",https://www.python.org/jobs/8040/
Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE,"New
Senior Back-End Python Engineer - FULLY REMOTE-WORLDWIDE
		    ActivePrime, Inc.","Mountain View, California, United States",Back end,https://www.python.org/jobs/8039/
Senior Full-Stack Engineer (remote),"Senior Full-Stack Engineer (remote)
		    AIDAR","Hamburg, Germany","Back end, Front end, Lead, Machine Learning",https://www.python.org/jobs/8033/
Junior Software Engineer,"Junior Software Engineer
		    Mechanize","San Francisco, CA, USA","Back end, Front end",https://www.python.org/jobs/8032/
Junior Full Stack Developer,"Junior Full Stack Developer
		    Patrick J. McGovern Foundation","Remote, Remote, United States","Back end, Front end",https://www.python.org/jobs/8031/
Senior Python Backend Developer,"Senior Python Backend Developer
		    SKYCATCHFIRE","Canton, OH, USA",Back end,https://www.python.org/jobs/8030/
Senior Software Engineer,"Senior Software Engineer
		    Aquent","Fully remote, East Coast Preferred, United States","Back end, Cloud, Front end, Machine Learning, Web",https://www.python.org/jobs/8027/
Senior Data Privacy Software Developer,"Senior Data Privacy Software Developer
		    OpenDP / Harvard University","Cambridge, Massachusetts, United States","Machine Learning, Numeric processing",https://www.python.org/jobs/8025/
Senior Backend Python Developer,"Senior Backend Python Developer
		    Kanmalai Technologies","Bengaluru, Karnataka, India",Back end,https://www.python.org/jobs/8024/
Senior Python Developer,"Senior Python Developer
		    Cial Dun & Bradstreet","São Paulo, São  Paulo, Brazil",Back end,https://www.python.org/jobs/8019/
Founding Full-Stack Senior Engineer (UK ONLY) - Fully Remote,"Founding Full-Stack Senior Engineer (UK ONLY) - Fully Remote
		    MyDataValue","London, ---, United Kingdom","Back end, Database, Front end, Web",https://www.python.org/jobs/8014/
AI Engineer,"AI Engineer
		    Adaptify","Remote, Remote, United Kingdom","Back end, Front end, Machine Learning, Testing, Artificial Intelligence, Prompt Engineering",https://www.python.org/jobs/8013/
"Director, Ratings AI","Director, Ratings AI
		    Fitch Ratings","Toronto, Ontario, Canada","Back end, Cloud, Finance, Front end, Machine Learning, Prototyping",https://www.python.org/jobs/8011/
